Pairs ( Date & Time        Missing Rate )
2013-09-24 11:40	 0.000 %	2013-09-25 11:40	 0.000 %	2013-09-26 11:40	 0.000 %	
2013-09-24 11:45	 0.000 %	2013-09-25 11:45	 0.000 %	2013-09-26 11:45	 0.000 %	
2013-09-24 11:50	10.000 %	2013-09-25 11:50	 0.000 %	2013-09-26 11:50	 0.000 %	
2013-09-24 11:55	 0.000 %	2013-09-25 11:55	 0.000 %	2013-09-26 11:55	10.000 %	
2013-09-24 12:00	 0.000 %	2013-09-25 12:00	 0.000 %	2013-09-26 12:00	 0.000 %	
2013-09-24 12:05	 0.000 %	2013-09-25 12:05	10.000 %	2013-09-26 12:05	 0.000 %	
2013-09-24 12:10	 0.000 %	2013-09-25 12:10	 0.000 %	2013-09-26 12:10	 0.000 %	
2013-09-24 12:15	 0.000 %	2013-09-25 12:15	 0.000 %	2013-09-26 12:15	 0.000 %	
2013-09-24 12:20	 0.000 %	2013-09-25 12:20	 0.000 %	2013-09-26 12:20	 0.000 %	
2013-09-24 12:25	 0.000 %	2013-09-25 12:25	40.000 %	2013-09-26 12:25	10.000 %	
2013-09-24 12:30	10.000 %	2013-09-25 12:30	10.000 %	2013-09-26 12:30	 0.000 %	
2013-09-24 12:35	 0.000 %	2013-09-25 12:35	10.000 %	2013-09-26 12:35	 0.000 %	
2013-09-24 12:40	 0.000 %	2013-09-25 12:40	 0.000 %	2013-09-26 12:40	 0.000 %	
2013-09-24 12:45	 0.000 %	2013-09-25 12:45	 0.000 %	2013-09-26 12:45	 0.000 %	
2013-09-24 12:50	 0.000 %	2013-09-25 12:50	 0.000 %	2013-09-26 12:50	 0.000 %	
2013-09-24 12:55	 0.000 %	2013-09-25 12:55	 0.000 %	2013-09-26 12:55	 0.000 %	
2013-09-24 13:00	 0.000 %	2013-09-25 13:00	 0.000 %	2013-09-26 13:00	10.000 %	
2013-09-24 13:05	10.000 %	2013-09-25 13:05	10.000 %	2013-09-26 13:05	 0.000 %	
2013-09-24 13:10	 0.000 %	2013-09-25 13:10	 0.000 %	2013-09-26 13:10	 0.000 %	
2013-09-24 13:15	 0.000 %	2013-09-25 13:15	 0.000 %	2013-09-26 13:15	 0.000 %	
2013-09-24 13:20	 0.000 %	2013-09-25 13:20	 0.000 %	2013-09-26 13:20	 0.000 %	
2013-09-24 13:25	 0.000 %	2013-09-25 13:25	 0.000 %	2013-09-26 13:25	 0.000 %	
2013-09-24 13:30	 0.000 %	2013-09-25 13:30	 0.000 %	2013-09-26 13:30	 0.000 %	
2013-09-24 13:35	10.000 %	2013-09-25 13:35	10.000 %	2013-09-26 13:35	10.000 %	
2013-09-24 13:40	 0.000 %	2013-09-25 13:40	 0.000 %	2013-09-26 13:40	 0.000 %	
2013-09-24 13:45	 0.000 %	2013-09-25 13:45	 0.000 %	2013-09-26 13:45	 0.000 %	
2013-09-24 13:50	 0.000 %	2013-09-25 13:50	 0.000 %	2013-09-26 13:50	 0.000 %	
2013-09-24 13:55	 0.000 %	2013-09-25 13:55	 0.000 %	2013-09-26 13:55	 0.000 %	
2013-09-24 14:00	 0.000 %	2013-09-25 14:00	 0.000 %	2013-09-26 14:00	 0.000 %	
2013-09-24 14:05	 0.000 %	2013-09-25 14:05	 0.000 %	2013-09-26 14:05	 0.000 %	
